schedule,mdrm,caption
RCRI,RCFA2170,TOTAL ASSETS
RCRI,RCFA3128,ALLOCATED TRANSFER RISK RESERVES
RCRIB,RCFA3792,TOTAL RISK-BASED CAPITAL
RCRIB,RCFA5310,ALLL INCLUDIBLE IN TIER2 CAPITAL
RCRIB,RCFA5311,TIER 2 (SUPPLEMENTARY) CAPITAL
RCRIB,RCFA7204,TIER 1 LEVERAGE CAPITAL RATIO
RCRIB,RCFA7205,TOTAL RISK-BASED CAPITAL RATIO
RCRIB,RCFA7206,TIER 1 RISK-BASED CAPITAL RATIO
RCRIB,RCFA8274,TIER 1 CPTL ALLWBL UNDR RISK-BASED
RCRIB,RCFAA223,RISK-WEIGHTED ASSETS
RCRIB,RCFAA224,AVG TOT ASSET NET DEDUCTIONS
RCRIB,RCFAB530,ACCUMULATED OTH COMPREHENSIVE INCOME
RCRIB,RCFAB596,OTHR DEDUCT FR ASSETS FOR LEVRGE CAP
RCRI,RCFAH015,TOTAL LEVERAGE EXPOSURE
RCRI,RCFAH036,ADVANCED APPROACHES ONLY: SUPPLEMENT
RCRI,RCFAH311,CAPTIAL CONSERVATION BUFFER
RCRI,RCFAH313,ELIGIBLE RETAINED INCOME
RCRI,RCFAH314,DIST AND DISCRE BONUS PAYMENTS QTR
RCRI,RCFAJJ30,Amount of allowances for credit loss
RCRI,RCFAJJ31,Amount of allowances for credit loss
RCRI,RCFAJJ32,Amount of allowances for credit loss
RCRI,RCFAKW00,Retained Earning
RCRI,RCFAKW03,Average total consolidated asset
RCRI,RCFAKX77,Trading assets and trading liabiliti
RCRI,RCFAKX78,Trading assets and trading liabiliti
RCRI,RCFAKX79,Off-balance sheet exposures: Unused
RCRI,RCFAKX80,Off-balance sheet exposures: Securit
RCRI,RCFAKX81,Off-balance sheet exposures: Other o
RCRI,RCFAKX82,Total off-balance sheet exposures (s
RCRI,RCFAKX83,Total off-balance sheet exposures (s
RCRI,RCFALB58,Less: Investments in the capital of
RCRI,RCFALB59,"Less: MSAs, net of associated DTLs,"
RCRI,RCFALB60,LESS: DTAs arising from temporary di
RCRI,RCFALB61,Investments in the [Tier 2] capital
RCRIB,RCFAP742,COMMON EQUITY TIER 1 CAPITAL
RCRIB,RCFAP793,CAP RATIO COM EQTY TIER1 CAP RATIO
RCRIB,RCFAP839,COM EQTY TIER 1 MINORTY INTERST
RCRIB,RCFAP840,COM EQTY TIER 1 CAP BEFORE REG ADJ
RCRIB,RCFAP841,COM EQTY TIER 1 CAP ADJS AND DEDUDS
RCRIB,RCFAP842,LESS INTANG ASSTS NET OF ASSCTD DTLS
RCRIB,RCFAP843,DFRD TX ASSTS OPRTING LOSS TX CRDT
RCRI,RCFAP844,NT UNRLZD GNS (LSSES) AFS SECURITIES
RCRI,RCFAP845,NT UNRLZD LOSS ON AFS PRFRRD STK
RCRI,RCFAP846,ACC NT GN LS CSHFLW HDGS
RCRI,RCFAP847,AOCI ATTRBTD DEFND BENFT POSTETRMNT
RCRI,RCFAP848,NT UNRLZD GNS (LSSES) HTM SEC AOCI
RCRIB,RCFAP849,NET GNS (LSSES) HTM SEC AOCI
RCRIB,RCFAP850,OTH THRSHLD DEDS COMEQTY TIER1 CAP
RCRIB,RCFAP851,NNSG INVCP UNCNS COMSTK 10 PCT THRSH
RCRIB,RCFAP852,SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS
RCRIB,RCFAP853,COMSTK 10PCT EQTY TIER1 CAP THRSHLD
RCRIB,RCFAP854,MSA DTL 10PCT EQTY TIER1 CAP THRS
RCRIB,RCFAP855,DTAS CAP CMSTK 15PCT TIER1 CAP THRSH
RCRIB,RCFAP856,MSA DTA 15PCT COMEQTY TIER1 CAPTHRES
RCRIB,RCFAP857,INSF TIER1 TIER2 CAP CVR DED
RCRIB,RCFAP858,ADJSTMNT DEDT  COM EQTY TIER1 CAP
RCRIB,RCFAP859,COM EQTY TIER 1 CAPITAL
RCRIB,RCFAP860,ADDITIONAL TIER 1 CAPITAL
RCRIB,RCFAP861,NNQFY CAP INSTR PHSOUT ADD TIER1 CAP
RCRIB,RCFAP862,TIER1 MNRTY INTR NOT EQTY TIER1 CAP
RCRIB,RCFAP863,ADD TIER 1 CAPITAL BEFORE DEDUCTIONS
RCRIB,RCFAP864,TOT ADDTNL TIER 1 CAP DEDUCTIONS
RCRIB,RCFAP865,ADDTNL TIER 1 CAPITAL
RCRIB,RCFAP866,TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS
RCRIB,RCFAP867,NNQLIFY CAP INSTR PHSOUT TIER2 CAP
RCRIB,RCFAP868,CAP MNRTY INTRST NOT INCL TIER 1 CAP
RCRIB,RCFAP870,TIER 2 CAPITAL BEFORE DEDUCTIONS
RCRIB,RCFAP872,TOTAL TIER 2 CAPITAL DEDUCTIONS
RCRIB,RCFAP875,DEDS COMEQTY TIER1 CAP ADD TIER1 CAP
RCRIB,RCFAQ257,UNREALIZED GAINS ON A-F-S EQUITY SEC
RCRIB,RCFAQ258,CUMULATIVE CHANGE IN FAIR VALUE
RCRI,RCFAS540,UNCONDITIONALLY  OR OTHER AMOUNT
RCA,RCFD0010,CASH AND DUE FROM DEPOSITORIES
RCA,RCFD0022,CASH & CASH ITEMS IN PROCESS OF COLL
RCA,RCFD0070,BALANCES WITH BKS IN FGN COUNTRIES
RC,RCFD0071,INT-BEARING BALS DUE FRM DEP INSTS
RCA,RCFD0073,BAL WITH FGN BRCHS OF OTHER U.S. BKS
RCA,RCFD0074,BAL WITH OTHER BKS IN FGN COUNTRIES
RC,RCFD0081,NONINTEREST-BEARING BALS&CURR&COIN
RCA,RCFD0082,BALS DUE FROM DEPOSITORY INSTS IN US
RCA,RCFD0083,BALS DUE FR US BRNCHS&AGENC OF FGNBK
RCA,RCFD0085,BALS DUE FR OTH DEPOSITORY INSTS-US
RCA,RCFD0090,BALANCES WITH F. R. BKS (COML BK BOO
RCB,RCFD0211,US TREAS SECS-HLD-TO-MAT-AMRTZ COST
RCB,RCFD0213,US TREAS SECS-HLD-TO-MAT-FAIR VALUE
RCB,RCFD0416,PLEDGED SECURITIES-BOOK VLAUE
RC,RCFD0426,OTHER IDENTIFIABLE INTANGIBLE ASSETS
RCN,RCFD1248,"LNS SECD BY RE TO NONUS ADR,PAS DU30"
RCN,RCFD1249,"LNS SECD BY RE TO NONUS ADR,PAS DU90"
RCN,RCFD1250,"LNS SECD BY RE TO NONUS ADR,NONACCRL"
RCN,RCFD1251,"C&I LNS TO US ADDRS,PAS DU 30-89 DYS"
RCN,RCFD1252,"C&I LNS TO US ADDRS,PAS DU 90 DYS OR"
RCN,RCFD1253,"C&I LNS TO US ADDRS,NONACCRUAL"
RCN,RCFD1254,"C&I LNS TO NONUS ADR,PAS DU 30-89 DY"
RCN,RCFD1255,"C&I LNS TO NONUS ADR,PAS DU 90 DYS"
RCN,RCFD1256,"C&I LNS TO NONUS ADR,NONACCRUAL"
RCN,RCFD1257,"LSE FNC RECS OF US ADDRS,PAS DU 30"
RCN,RCFD1258,"LSE FIN RECS OF US ADDRS, PAST DUE 9"
RCN,RCFD1259,"LSE FIN RECS OF US ADDR,NONACCRUAL"
RCN,RCFD1271,LEASE FINAN REC OF NON-US P/D30-89DY
RCN,RCFD1272,"LSE FIN RECS OF NONUS ADR,PAS DU 90"
RCB,RCFD1286,US TREAS SECS-AVL-FOR-SLE-AMRTZ COST
RCB,RCFD1287,US TREAS SECS-AVL-FOR-SLE-FAIR VALUE
RCB,RCFD1289,US OBLGS ISSD BY US GOVT AGCS-AMRTZ
RCB,RCFD1290,US OBLGS ISSD BY US GOVT AGCS-FAIR
RCB,RCFD1291,US OBLGS ISSD BY US GOVT AGCS-AMRTZ
RCB,RCFD1293,US OBLGS ISSD BY US GOVT AGCS-FAIR
RCB,RCFD1294,US OBLGS ISSD BY US GOV SPON AGC-AMR
RCB,RCFD1295,US OBLGS ISSD BY US GOV SPON AGC-FAI
RCB,RCFD1297,US OBLGS ISSD BY US GOV SPON AGC-AMR
RCB,RCFD1298,US OBLGS ISSD BY US GOV SPON AGC-FAI
RC,RCFD1350,FED. FUNDS SOLD & SECURITIES RS.
RCR,RCFD1395,TIER 3 CPTL ALLOCATD FOR MARKET RISK
RCN,RCFD1403,"TOTAL, NONACCRUAL"
RCN,RCFD1406,"TOTAL, PAST DUE 30-89 DAYS, ACCRUING"
RCN,RCFD1407,"TOTAL, PAST DUE 90 OR MORE, ACCRUING"
RCCI,RCFD1410,"REAL ESTATE LOANS, TOTAL"
RCCI,RCFD1420,R.E. LOANS-FARMLAND
RCCI,RCFD1460,R.E. LOANS MULTI-FAMILY
RCCI,RCFD1545,LOANS FOR PURCHASING SECURITIES
RCCI,RCFD1563,OTHER LOANS
RCF,RCFD1578,REPOSSESSED PERSONAL PROPERTY
RCN,RCFD1583,"LOANS TO FARMERS, NONACCRUAL"
RCCI,RCFD1590,LOANS TO FINANCE AGRICULTURAL PROD
RCN,RCFD1594,"LN TO FRMERS,PAST 30-89 DYS, ACCRUIN"
RCN,RCFD1597,"LN TO FRMERS,PAST 90 OR MORE,ACCRUIN"
RCCI,RCFD1616,TOT LNS & LEASES RESTRUCTURED
RCR,RCFD1651,MARKET RISK EQUIVALENT ASSETS
RCN,RCFD1658,RESTRUCTURED LNS-PAST DUE 30-89 DAYS
RCN,RCFD1659,RESTRUCTURED LNS-PAST DUE 90 DAYS OR
RCN,RCFD1661,RESTRUCTURED LNS-NONACCRUAL
RCB,RCFD1698,MBS-PASS THRU-GNMA-HLD-TO-MAT-AMRTZ
RCB,RCFD1699,MBS-PASS THRU-GNMA-HLD-TO-MAT-FAIR
RCB,RCFD1701,MBS-PASS THRU-GNMA-AVL-FR-SALE-AMRTZ
RCB,RCFD1702,MBS-PASS THRU-GNMA-AVL-FR-SALE-FAIR
RCB,RCFD1703,MBS-PASS THRU-FNMA&FHLMC-HLD-AMRTZ
RCB,RCFD1705,MBS-PASS THRU-FNMA&FHLMC-HLD-FAIR VL
RCB,RCFD1706,MBS-PASS THRU-FNMA&FHLMC-AVL-AMRTZ
RCB,RCFD1707,MBS-PASS THRU-FNMA&FHLMC-AVL-FAIR VL
RCB,RCFD1709,OTHR PASS-THRU SECS-HLD-AMORTZD COST
RCB,RCFD1710,OTHR PASS-THRU SECS-HLD-FAIR VALUE
RCB,RCFD1711,OTHR PASS-THRU SECS-AVL-AMORTZD COST
RCB,RCFD1713,OTHR PASS-THRU SECS-AVL-FAIR VALUE
RCB,RCFD1714,MBS-CMOS&REMICS-FNMA&FHLMC-HLD-AMRTZ
RCB,RCFD1715,MBS-CMOS&REMICS-FNMA&FHLMC-HLD-FAIR
RCB,RCFD1716,MBS-CMOS&REMICS-FNMA&FHLMC-AVL-AMRTZ
RCB,RCFD1717,MBS-CMOS&REMICS-FNMA&FHLMC-AVL-FAIR
RCB,RCFD1718,OTHR MBS COLLATERLZ-HLD-AMORTZD COST
RCB,RCFD1719,OTHR MBS COLLATERLZ-HLD-FAIR VALUE
RCR,RCFD1727,MAX RECOURSE LOW LEVEL REC TRANS
RCB,RCFD1731,OTHR MBS COLLATERLZ-AVL AMORTZD COST
RCB,RCFD1732,OTHR MBS COLLATERLZ-AVL-FAIR VALUE
RCB,RCFD1733,MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ
RCB,RCFD1734,MBS-CMOS&REMICS-ALL OTHER-HLD-FAIR
RCB,RCFD1735,MBS-CMOS&REMICS-ALL OTHER-AVL-AMRTZ
RCB,RCFD1736,MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR
RCB,RCFD1737,OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR
RCB,RCFD1738,OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI
RCB,RCFD1739,OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR
RCB,RCFD1741,OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI
RCB,RCFD1742,FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS
